county name,state,county_population_increased_2015_2016,year,female_total_population,female_age_under_5_pct,female_age_5_to_9_pct,female_age_10_to_14_pct,female_age_15_to_19_pct,female_age_20_to_24_pct,female_age_25_to_29_pct,female_age_30_to_34_pct,female_age_35_to_39_pct,female_age_40_to_44_pct,female_age_45_to_49_pct,female_age_50_to_54_pct,female_age_55_to_59_pct,female_age_60_to_64_pct,female_age_65_to_69_pct,female_age_70_to_74_pct,female_age_75_to_79_pct,female_age_80_to_84_pct,female_age_85_and_over_pct,male_total_population,male_age_under_5_pct,male_age_5_to_9_pct,male_age_10_to_14_pct,male_age_15_to_19_pct,male_age_20_to_24_pct,male_age_25_to_29_pct,male_age_30_to_34_pct,male_age_35_to_39_pct,male_age_40_to_44_pct,male_age_45_to_49_pct,male_age_50_to_54_pct,male_age_55_to_59_pct,male_age_60_to_64_pct,male_age_65_to_69_pct,male_age_70_to_74_pct,male_age_75_to_79_pct,male_age_80_to_84_pct,male_age_85_and_over_pct
Stark County,Ohio,FALSE,2010,192651,5.5,6.3,6,6.2,5.7,5.4,5.4,5.1,6.9,7.3,7.9,7.5,6.5,4.9,3.7,3.4,3.3,2.9,182670,6.1,6.6,6.8,7.8,6.1,5.4,5.7,5.4,7,7.4,8.1,7.4,6.2,4.8,3.1,2.6,2,1.5
Summit County,Ohio,FALSE,2010,279592,5.6,5.8,6.2,6.5,6.1,6,5.7,5.7,6.9,7.5,8,7,6.3,4.4,3.3,3.1,2.9,2.9,261973,6.1,6.2,7.3,7.4,6.7,6.1,6,6.1,6.8,7.6,8.1,7.5,5.6,3.6,3.3,2.5,2,1.2
Trumbull County,Ohio,FALSE,2010,108490,5.4,5.9,6.3,6.2,5,5.2,5.1,5.7,6.6,7.1,7.5,7.6,7,4.9,4.4,3.7,3.4,2.8,101446,5.6,6.2,7.1,6.9,5.4,5.6,5.5,6.1,6.7,7.1,8.1,6.9,7.5,5.7,3,2.5,2.6,1.5
Tuscarawas County,Ohio,FALSE,2010,47279,5.5,5.2,7.7,6.5,4.9,6.3,6,3.7,7.9,7,7.5,7.4,6,5.5,3.3,2.4,4.1,3,45263,6.1,5.7,8.4,6.9,5.4,6.2,5.9,7,5.5,7.2,8.1,6.2,7.2,4,4,2.4,2.5,1.4
Warren County,Ohio,TRUE,2010,105706,6.4,7,8.5,6.4,4.2,5.3,6.5,7.2,8.9,8,7.9,5.9,5.6,3.2,3.4,2.6,1.8,1.2,107486,6.8,9,8.3,6.9,5.2,5.8,6.2,9,6.9,8.3,7.4,5.2,5.7,3.3,2.3,1.7,1.3,0.7
Wayne County,Ohio,TRUE,2010,58273,6.2,6.3,7.6,7.4,6.9,5.3,5.3,6.1,5.7,7,7.7,6.6,5.9,4.7,3.6,2.9,1.7,3.3,56232,7.2,7.2,7.5,8.1,6.9,5.4,5.2,6.5,5.4,7.6,7.6,6.1,6.1,5.1,2.6,3.1,1,1.3
Wood County,Ohio,TRUE,2010,64016,5.2,6,4.9,12.8,8,5.4,5.1,6.7,5,7.4,7.2,5.9,6.4,3.7,3.2,2,3.8,1.4,61486,5.6,7.2,5.9,10.7,9.8,6.4,5.4,6.4,5.6,6.6,7.5,7.4,4.6,3.5,2.7,1.8,1.6,1.2
Canadian County,Oklahoma,TRUE,2010,58465,7.3,8.4,7,5.9,4.8,7.2,7.3,6.1,6.5,8.1,7.3,5.8,6.2,2.9,3.8,1.9,2,1.5,57772,7.7,8.3,7.3,6.5,5.6,6.6,7.7,7.1,7.1,7.9,8,5.1,5.3,4.1,2.2,2.1,0.6,0.7
Cleveland County,Oklahoma,TRUE,2010,127754,6.1,6.8,5.7,7.3,9.1,9,6.9,5.7,6.4,6.6,7.5,6.3,5,3.6,2.6,1.8,1.9,1.5,129141,7,7,6.3,7.4,10.7,8.7,7.5,7.6,5.4,6.5,6.6,5.5,4.8,3,2.5,1.5,1.2,0.9
Comanche County,Oklahoma,FALSE,2010,61635,8,7.5,6.6,7.7,7.7,8.9,7.5,6.5,4.6,6.6,6.6,5.2,4.4,4.1,2.2,2.9,1.5,1.6,63733,7,7.4,6,8.5,10.3,9.9,7.5,6.4,7.2,5.5,6.5,5.2,3.8,3,1.8,2.3,1,0.7
Creek County,Oklahoma,TRUE,2010,35016,5.7,6.3,8.5,6,5,5.5,5.8,7.4,5.4,6.8,7.7,6.9,6.6,5.7,3.2,3.3,2.1,2,35117,7.2,8.2,6.4,6.4,5.6,6.2,6.2,6.3,5.8,8.2,6.7,6.9,5.9,6.1,2.8,1.8,2.6,0.6
Muskogee County,Oklahoma,FALSE,2010,36979,6.5,7.2,7.5,5.9,5.8,6.3,4,6.1,8.1,6.3,7.2,6.4,6.1,5.5,2.8,2.8,2,3.6,34131,7.1,6,8.3,6,7.3,6.5,5.6,7,6.4,6.5,8.5,7.4,5.5,4.5,2.2,2.2,2.1,0.9
Oklahoma County,Oklahoma,TRUE,2010,368494,7.4,6.6,6.4,6.2,7.6,8,6.9,6.7,5.4,6.8,6.9,6.5,4.9,3.9,3,2.7,2,2.2,352684,8.1,7.1,7.2,6.8,7.9,8.5,7.2,6.5,6,6.8,6.8,5.8,5.1,3.4,2.4,1.9,1.5,1.1
Payne County,Oklahoma,TRUE,2010,36932,5.7,3.6,5.4,11.1,17,8.3,5.4,5.4,4.5,5.9,5.6,5.3,4.5,3.4,3,2.1,2,1.7,40516,4.9,6.8,5,7.4,21.7,9.1,7,4.5,5.3,5.4,5.5,3.9,4.4,3.6,1.8,1.7,1.2,0.9
Pottawatomie County,Oklahoma,TRUE,2010,35953,6.2,6.3,6.8,9.1,5.8,6.1,5.6,7.1,5.7,7.2,6.4,6.5,5.6,5.4,3.3,2.9,1.8,2.2,33655,7.4,7.4,8.4,8.1,6.3,6.1,6.6,7.3,4.1,7.7,6.1,6.1,5.5,5.2,3.1,1.8,2,1.1
Rogers County,Oklahoma,TRUE,2010,44039,6.9,6.3,8.4,6.8,4.9,6,4.8,6.1,8.3,8.2,7.3,5.4,6.5,4.7,3.2,2.1,1.9,2.2,42949,6.3,7.7,7.3,7.3,7.3,5.5,5.7,5.7,7.4,7.7,7.6,6.3,5.7,5.4,2.4,1.8,1.6,1.4
Tulsa County,Oklahoma,TRUE,2010,309821,7,6.6,6.7,6.6,6.8,7.4,6.8,7,5.5,6.8,7.2,6.7,4.9,3.6,3.3,2.2,2.4,2.5,295597,7.8,7.3,7.4,7.1,7.1,7.7,7.1,7.1,6.3,6.9,6.9,6,5.1,3.3,2.6,1.6,1.6,1.2
Wagoner County,Oklahoma,TRUE,2010,38081,7,8.5,6.4,8.4,4.6,5.7,5.9,6.1,8.6,6.5,6.9,5.6,6.6,5.4,2.9,1.1,1.7,2.2,35268,6.6,8,8.3,4.7,6.7,5.7,6.8,6.1,8.3,6.7,7.3,5.1,7.8,3.9,4.2,2.2,1.2,0.6
Benton County,Oregon,TRUE,2010,42380,3.7,4.7,5.7,10,14.4,6,6,5,5.5,6,6.9,6,6.8,4.7,1.9,2.1,2.6,2.3,43195,5.1,4.7,5.4,9.7,18.9,6.6,4.8,3.8,5.5,6.4,6.3,6.4,5.7,3.2,2.6,1.2,1.6,2
Clackamas County,Oregon,TRUE,2010,191043,5.2,6.2,7.4,6,4.6,5.9,5.7,7.1,6.5,7.6,8,7.7,7.2,4.9,2.9,2.6,1.8,2.8,185848,6,6.4,7.7,7.2,5.4,5.8,5.5,6.2,7.4,8,7.9,7.5,7,4.3,3.1,2.3,1.2,1.2
Deschutes County,Oregon,TRUE,2010,79996,5.8,5.5,7,5.8,5.1,6.1,6.3,5.6,7.2,7.3,7.4,8.5,6.9,5.8,2.8,2.1,2.5,2.4,77898,5.8,6.7,6.2,7.9,5.1,6.9,6.6,6.5,6.2,6.6,7.2,6.7,7.3,5.5,3.3,2.7,1.6,1.1
Douglas County,Oregon,TRUE,2010,54636,4.5,5.2,6.2,6.3,4.6,5.2,5.1,5,5.5,7.1,7.3,8.3,7.9,5.5,5.6,3.8,4.1,2.9,53002,6,4.9,6.7,6.3,5.2,4.8,5.1,6,3.8,6.8,8.3,7.9,8.4,6.6,4.8,3.1,2.8,2.5
Jackson County,Oregon,TRUE,2010,104174,5.6,6.5,5.2,5.7,5.8,6.1,5.2,5.6,5.3,6.7,7.8,8.2,6.5,5.2,4.4,3.1,4.3,2.8,99288,6.6,6.6,5.9,6.4,6,6.4,6.1,5.5,6,6.6,7.3,7.5,7.1,4.8,4.2,3.3,2.1,1.6
Josephine County,Oregon,TRUE,2010,42506,4.1,5.6,5.9,5.6,5.7,4.3,4.5,4.7,5,6.4,7.3,10.6,6.8,5.8,5.6,4.2,3.7,4.2,40301,5,4.9,6.8,6.6,5.6,4.7,4.7,4.2,5.9,5.9,8.4,7.5,8.5,6.3,5.9,1.9,4.2,2.8
Klamath County,Oregon,TRUE,2010,32486,6.3,5.1,6.9,5.6,6.4,6,4.6,4.2,7.5,7.4,7.1,7.7,6.7,5.5,4.2,4.7,2.2,2,32237,4.6,8.5,4.4,7.5,5.6,5.1,5.6,5.3,5.8,7.9,7.3,9,7.5,5.9,3.6,3.5,2,1.1
Lane County,Oregon,TRUE,2010,179004,4.8,4.6,5.7,7.8,8.3,6.6,5.8,5.8,5.4,6.6,7.6,8.1,6.5,4.6,3.7,2.7,2.7,2.7,172979,5.2,4.7,6.8,7.5,9.8,6.7,6.2,6.5,5.5,6.3,7.2,7.4,6.9,4.3,3.4,2.6,1.8,1.5
Linn County,Oregon,TRUE,2010,58814,5.5,5.5,7.2,6.3,5.3,6.7,6.1,6.3,5.5,7.2,7.3,7.1,6.6,4.9,4.3,2.7,3.1,2.3,58096,8.1,6.3,8,6,5.6,6.9,6.4,6.6,5.1,6.6,7.6,6.2,7,4.5,3.4,2.1,2.1,1.7
Marion County,Oregon,TRUE,2010,158999,7,8.1,6.3,7,6.4,6.7,6.6,6.1,6,6.3,6.6,6.9,5.5,3.5,3.7,2.5,2.4,2.4,157097,7.7,7.8,7.2,7.5,6.8,7,7.2,6.2,6.7,6.5,6.6,6.7,4.9,4.3,2.2,1.7,1.4,1.7
Multnomah County,Oregon,TRUE,2010,372308,6.2,5.8,4.7,5.2,7.7,9.5,8.9,7.6,7.1,6.5,6.7,6.4,5.6,3.4,2.6,1.8,1.5,2.7,365594,6.4,5.7,5.7,5.9,7.2,9.1,9.4,7.9,8.1,6.7,6.9,6.4,5.5,3.4,2,1.6,0.9,1.1
Polk County,Oregon,TRUE,2010,38513,5.3,6.9,5.3,8.7,8.5,6,6.9,4.6,5.8,5.8,7.5,6,6.8,5.8,2.4,3.1,2.3,2.4,37112,8.6,6.7,7,6.9,9,5.1,7.1,2.8,7.2,6.5,6.7,5.1,7.6,5.3,2.6,2.4,1.8,1.5
